rank,UnitID,Institution,Sector,PellDollars,PellDollarsBillions,YearsCovered
1,484613,University of Phoenix-Arizona,"Private, for-profit",2099633987,2.100,2013-2022
2,135717,Miami Dade College,Public,1235094541,1.235,2013-2022
3,150987,Ivy Tech Community College,Public,1177888368,1.178,2013-2022
4,104717,Grand Canyon University,"Private, for-profit",1144819793,1.145,2013-2022
5,133951,Florida International University,Public,1024317924,1.024,2013-2022
6,183026,Southern New Hampshire University,"Private, not-for-profit",1017881062,1.018,2013-2022
7,433387,Western Governors University,"Private, not-for-profit",1017464239,1.017,2013-2022
8,132903,University of Central Florida,Public,944102008,0.944,2013-2022
9,110608,California State University-Northridge,Public,924610465,0.925,2013-2022
10,232557,Liberty University,"Private, not-for-profit",855122344,0.855,2013-2022
11,110583,California State University-Long Beach,Public,765312318,0.765,2013-2022
12,225423,Houston Community College,Public,764203029,0.764,2013-2022
13,138187,Valencia College,Public,764081935,0.764,2013-2022
14,110565,California State University-Fullerton,Public,751348609,0.751,2013-2022
15,110592,California State University-Los Angeles,Public,747477554,0.747,2013-2022
16,227368,The University of Texas Rio Grande Valley,Public,744262746,0.744,2013-2022
17,104151,Arizona State University Campus Immersion,Public,731586205,0.732,2013-2022
18,142522,Brigham Young University-Idaho,"Private, not-for-profit",731144391,0.731,2013-2022
19,154022,Ashford University,"Private, for-profit",671129995,0.671,2013-2022
20,110617,California State University-Sacramento,Public,669349102,0.669,2013-2022
21,227182,Lone Star College System,Public,667964692,0.668,2013-2022
22,190521,CUNY Borough of Manhattan Community College,Public,665548555,0.666,2013-2022
23,225511,University of Houston,Public,662347238,0.662,2013-2022
24,132709,Broward College,Public,661345461,0.661,2013-2022
25,139940,Georgia State University,Public,615631024,0.616,2013-2022
