UnitID,Institution,Sector,Year,PellDollars,PellDollarsBillions,AnchorYear
150987,Ivy Tech Community College,Public,2008,16197889,0.016,2022
150987,Ivy Tech Community College,Public,2009,30341009,0.030,2022
150987,Ivy Tech Community College,Public,2010,38864467,0.039,2022
150987,Ivy Tech Community College,Public,2011,203153439,0.203,2022
150987,Ivy Tech Community College,Public,2012,206761012,0.207,2022
150987,Ivy Tech Community College,Public,2013,184555960,0.185,2022
150987,Ivy Tech Community College,Public,2014,169982827,0.170,2022
150987,Ivy Tech Community College,Public,2015,137605412,0.138,2022
150987,Ivy Tech Community College,Public,2016,122605312,0.123,2022
150987,Ivy Tech Community College,Public,2017,108048221,0.108,2022
150987,Ivy Tech Community College,Public,2018,91868838,0.092,2022
150987,Ivy Tech Community College,Public,2019,108148022,0.108,2022
150987,Ivy Tech Community College,Public,2020,88492397,0.088,2022
150987,Ivy Tech Community College,Public,2021,82229048,0.082,2022
150987,Ivy Tech Community College,Public,2022,84352331,0.084,2022
129367,Connecticut State Community College,Public,2008,3871830,0.004,2022
129367,Connecticut State Community College,Public,2009,10672433,0.011,2022
129367,Connecticut State Community College,Public,2010,8067536,0.008,2022
129367,Connecticut State Community College,Public,2011,6632360,0.007,2022
129367,Connecticut State Community College,Public,2012,4257126,0.004,2022
129367,Connecticut State Community College,Public,2013,10596336,0.011,2022
129367,Connecticut State Community College,Public,2014,6339069,0.006,2022
129367,Connecticut State Community College,Public,2015,10105845,0.010,2022
129367,Connecticut State Community College,Public,2016,9307329,0.009,2022
129367,Connecticut State Community College,Public,2017,5034482,0.005,2022
129367,Connecticut State Community College,Public,2018,8193041,0.008,2022
129367,Connecticut State Community College,Public,2019,5837188,0.006,2022
129367,Connecticut State Community College,Public,2020,4886198,0.005,2022
129367,Connecticut State Community College,Public,2021,4636086,0.005,2022
129367,Connecticut State Community College,Public,2022,63077421,0.063,2022
224642,El Paso Community College,Public,2008,33447084,0.033,2022
224642,El Paso Community College,Public,2009,53147028,0.053,2022
224642,El Paso Community College,Public,2010,58897714,0.059,2022
224642,El Paso Community College,Public,2011,72157686,0.072,2022
224642,El Paso Community College,Public,2012,68848352,0.069,2022
224642,El Paso Community College,Public,2013,67533586,0.068,2022
224642,El Paso Community College,Public,2014,66283767,0.066,2022
224642,El Paso Community College,Public,2015,60250567,0.060,2022
224642,El Paso Community College,Public,2016,61098609,0.061,2022
224642,El Paso Community College,Public,2017,68879471,0.069,2022
224642,El Paso Community College,Public,2018,63791119,0.064,2022
224642,El Paso Community College,Public,2019,64219778,0.064,2022
224642,El Paso Community College,Public,2020,54025019,0.054,2022
224642,El Paso Community College,Public,2021,51681950,0.052,2022
224642,El Paso Community College,Public,2022,57662549,0.058,2022
158662,Delgado Community College,Public,2008,16149645,0.016,2022
158662,Delgado Community College,Public,2009,29351533,0.029,2022
158662,Delgado Community College,Public,2010,43021576,0.043,2022
158662,Delgado Community College,Public,2011,49017418,0.049,2022
158662,Delgado Community College,Public,2012,61085776,0.061,2022
158662,Delgado Community College,Public,2013,53126248,0.053,2022
158662,Delgado Community College,Public,2014,52033236,0.052,2022
158662,Delgado Community College,Public,2015,45677659,0.046,2022
158662,Delgado Community College,Public,2016,30843015,0.031,2022
158662,Delgado Community College,Public,2017,29351890,0.029,2022
158662,Delgado Community College,Public,2018,31914789,0.032,2022
158662,Delgado Community College,Public,2019,32318636,0.032,2022
158662,Delgado Community College,Public,2020,39570113,0.040,2022
158662,Delgado Community College,Public,2021,29158592,0.029,2022
158662,Delgado Community College,Public,2022,53740780,0.054,2022
190521,CUNY Borough of Manhattan Community College,Public,2008,36209425,0.036,2022
190521,CUNY Borough of Manhattan Community College,Public,2009,52067035,0.052,2022
190521,CUNY Borough of Manhattan Community College,Public,2010,58804390,0.059,2022
190521,CUNY Borough of Manhattan Community College,Public,2011,66023883,0.066,2022
190521,CUNY Borough of Manhattan Community College,Public,2012,68226045,0.068,2022
190521,CUNY Borough of Manhattan Community College,Public,2013,66821848,0.067,2022
190521,CUNY Borough of Manhattan Community College,Public,2014,72435843,0.072,2022
190521,CUNY Borough of Manhattan Community College,Public,2015,72418802,0.072,2022
190521,CUNY Borough of Manhattan Community College,Public,2016,70377561,0.070,2022
190521,CUNY Borough of Manhattan Community College,Public,2017,76418643,0.076,2022
190521,CUNY Borough of Manhattan Community College,Public,2018,76936456,0.077,2022
190521,CUNY Borough of Manhattan Community College,Public,2019,75473981,0.075,2022
190521,CUNY Borough of Manhattan Community College,Public,2020,58423444,0.058,2022
190521,CUNY Borough of Manhattan Community College,Public,2021,49156082,0.049,2022
190521,CUNY Borough of Manhattan Community College,Public,2022,47085895,0.047,2022
232946,Northern Virginia Community College,Public,2008,13328301,0.013,2022
232946,Northern Virginia Community College,Public,2009,25798621,0.026,2022
232946,Northern Virginia Community College,Public,2010,34941817,0.035,2022
232946,Northern Virginia Community College,Public,2011,36060798,0.036,2022
232946,Northern Virginia Community College,Public,2012,41773954,0.042,2022
232946,Northern Virginia Community College,Public,2013,46737701,0.047,2022
232946,Northern Virginia Community College,Public,2014,48160726,0.048,2022
232946,Northern Virginia Community College,Public,2015,45917679,0.046,2022
232946,Northern Virginia Community College,Public,2016,41684963,0.042,2022
232946,Northern Virginia Community College,Public,2017,43371430,0.043,2022
232946,Northern Virginia Community College,Public,2018,42134745,0.042,2022
232946,Northern Virginia Community College,Public,2019,41060138,0.041,2022
232946,Northern Virginia Community College,Public,2020,40240394,0.040,2022
232946,Northern Virginia Community College,Public,2021,42137715,0.042,2022
232946,Northern Virginia Community College,Public,2022,44730232,0.045,2022
228547,Tarrant County College District,Public,2008,21164379,0.021,2022
228547,Tarrant County College District,Public,2009,40911147,0.041,2022
228547,Tarrant County College District,Public,2010,65645340,0.066,2022
228547,Tarrant County College District,Public,2011,72160239,0.072,2022
228547,Tarrant County College District,Public,2012,67858845,0.068,2022
228547,Tarrant County College District,Public,2013,72672701,0.073,2022
228547,Tarrant County College District,Public,2014,66893342,0.067,2022
228547,Tarrant County College District,Public,2015,60238551,0.060,2022
228547,Tarrant County College District,Public,2016,55416641,0.055,2022
228547,Tarrant County College District,Public,2017,73791908,0.074,2022
228547,Tarrant County College District,Public,2018,59101154,0.059,2022
228547,Tarrant County College District,Public,2019,67778873,0.068,2022
228547,Tarrant County College District,Public,2020,45287792,0.045,2022
228547,Tarrant County College District,Public,2021,50090688,0.050,2022
228547,Tarrant County College District,Public,2022,43634439,0.044,2022
119164,Mt San Antonio College,Public,2008,16200761,0.016,2022
119164,Mt San Antonio College,Public,2009,23577922,0.024,2022
119164,Mt San Antonio College,Public,2010,33086946,0.033,2022
119164,Mt San Antonio College,Public,2011,36771977,0.037,2022
119164,Mt San Antonio College,Public,2012,38429051,0.038,2022
119164,Mt San Antonio College,Public,2013,38867974,0.039,2022
119164,Mt San Antonio College,Public,2014,39734380,0.040,2022
119164,Mt San Antonio College,Public,2015,38583114,0.039,2022
119164,Mt San Antonio College,Public,2016,35517296,0.036,2022
119164,Mt San Antonio College,Public,2017,39104544,0.039,2022
119164,Mt San Antonio College,Public,2018,33491193,0.033,2022
119164,Mt San Antonio College,Public,2019,38447526,0.038,2022
119164,Mt San Antonio College,Public,2020,33735511,0.034,2022
119164,Mt San Antonio College,Public,2021,31327951,0.031,2022
119164,Mt San Antonio College,Public,2022,35580667,0.036,2022
117645,Long Beach City College,Public,2008,20917366,0.021,2022
117645,Long Beach City College,Public,2009,36969193,0.037,2022
117645,Long Beach City College,Public,2010,37054672,0.037,2022
117645,Long Beach City College,Public,2011,42368011,0.042,2022
117645,Long Beach City College,Public,2012,39170794,0.039,2022
117645,Long Beach City College,Public,2013,34721315,0.035,2022
117645,Long Beach City College,Public,2014,35623811,0.036,2022
117645,Long Beach City College,Public,2015,32901456,0.033,2022
