cohort_year,adj_cohort_all,completers_all,non_completers_all,grad_rate_all,n_unitids,adj_cohort_484613,completers_484613
2003,21007,1916,19091,0.0912,53,0,0
2004,13369,1605,11764,0.1201,59,0,0
2005,28726,4693,24033,0.1634,66,0,0
2006,63085,11584,51501,0.1836,70,0,0
2007,83474,16421,67053,0.1967,62,0,0
2008,111029,19303,91726,0.1739,22,107543,18805
2009,115425,19198,96227,0.1663,22,110606,18532
2010,55821,8969,46852,0.1607,22,53387,8650
2011,53006,7572,45434,0.1429,19,50695,7265
2012,20312,3383,16929,0.1666,13,19884,3311
2013,17836,2739,15097,0.1536,7,17650,2709
2014,15235,1759,13476,0.1155,7,15154,1746
2015,8435,1154,7281,0.1368,2,8420,1152
2016,6248,1128,5120,0.1805,2,6243,1129
2017,5427,1060,4367,0.1953,2,5424,1058
