OPEID6,UnitID,Institution,County
1111,108807.0,Allan Hancock College,Santa Barbara
1113,109350.0,Antelope Valley Community College District,Los Angeles
1118,109819.0,Bakersfield College,Kern
1119,109907.0,Barstow Community College,San Bernardino
1124,110334.0,Cabrillo College,Santa Cruz
1161,111887.0,Cerritos College,Los Angeles
1162,111920.0,Chabot College,Alameda
1163,111939.0,Chaffey College,San Bernardino
1166,112172.0,Citrus College,Los Angeles
1176,125462.0,Coalinga College,Fresno
1178,118347.0,College of Marin,Marin
1181,122791.0,College of San Mateo,San Mateo
1182,113573.0,College of the Desert,Riverside
1185,121707.0,College of the Redwoods,Humboldt
1186,123217.0,College of the Sequoias,Tulare
1187,123484.0,College of the Siskiyous,Siskiyou
1190,112826.0,Contra Costa College,Contra Costa
1191,113634.0,Diablo Valley College,Contra Costa
1192,113193.0,Cuesta College,San Luis Obispo
1193,113236.0,Cypress College,Orange
1197,113980.0,El Camino Community College District,Los Angeles
1199,114716.0,Foothill College,Santa Clara
1201,114859.0,Fullerton College,Orange
1202,114938.0,Gavilan College,Santa Clara
1203,115001.0,Glendale Community College,Los Angeles
1206,115126.0,Golden West College,Orange
1208,115296.0,Grossmont College,San Diego
1209,115393.0,Hartnell College,Monterey
1214,115861.0,Imperial Valley College,Imperial
1217,117274.0,Lassen Community College,Lassen
1219,117645.0,Long Beach City College,Los Angeles
1223,117788.0,Los Angeles City College,Los Angeles
1224,117690.0,Los Angeles Harbor College,Los Angeles
1226,117706.0,Los Angeles Pierce College,Los Angeles
1227,117724.0,Los Angeles Trade Technical College,Los Angeles
1228,117733.0,Los Angeles Valley College,Los Angeles
1229,117672.0,Southern California University of Health Sciences,Los Angeles
1232,109208.0,American River College,Sacramento
1233,122180.0,Sacramento City College,Sacramento
1237,118718.0,Merced College,Merced
1239,118912.0,MiraCosta College,San Diego
1240,118976.0,Modesto Junior College,Stanislaus
1242,119067.0,Monterey Peninsula College,Monterey
1245,119164.0,Mt San Antonio College,Los Angeles
1246,119216.0,Mt San Jacinto Community College District,Riverside
1247,119331.0,Napa Valley College,Napa
1250,120342.0,Orange Coast College,Orange
1259,120953.0,Palo Verde College,Riverside
1260,120971.0,Palomar College,San Diego
1261,121044.0,Pasadena City College,Los Angeles
1266,117247.0,Laney College,Alameda
1267,118772.0,Merritt College,Alameda
1268,121363.0,Porterville College,Tulare
1269,121886.0,Rio Hondo College,Los Angeles
1270,121901.0,Riverside City College,Riverside
1272,123527.0,San Bernardino Valley College,San Bernardino
1273,122339.0,San Diego City College,San Diego
1275,122375.0,San Diego Mesa College,San Diego
1280,122658.0,San Joaquin Delta College,San Joaquin
1282,122746.0,San Jose City College,Santa Clara
1284,121619.0,Santa Ana College,Orange
1285,122889.0,Santa Barbara City College,Santa Barbara
1286,122977.0,Santa Monica College,Los Angeles
1287,123013.0,Santa Rosa Junior College,Sonoma
1289,123299.0,Shasta College,Shasta
1290,123341.0,Sierra College,Placer
1292,123563.0,Solano Community College,Solano
1294,123800.0,Southwestern College,San Diego
1307,114789.0,Fresno City College,Fresno
1308,117052.0,Reedley College,Fresno
1309,124113.0,Taft College,Kern
1334,125028.0,Ventura College,Ventura
1335,125091.0,Victor Valley College,San Bernardino
